country_name,country_code,adolescent_fertility,GDP,electricity_access,age_dependency,birds_threatened,crude_births ,compulsory_education,start_up_cost,crude_deaths,credit,business_ease,fertility,fish_threatened,telephone,foreign_inflow,foreign_outflow,GDP_growth,measles_immunization,labor,land,life_expectancy_female,life_expectancy_male,life_expectancy_total,mammals_threatened,mobile_cell,infant_deaths,pop_ann_growth,female_pop_perc,male_pop_perc,pop_total,private_cred,profit_tax,parliament_women,sex_ratio,legal_rights
Afghanistan,AFG,65.141,21126660586,98.71320343,84.07765608,16,32.487,9,6.4,6.423,0,44.20343,4.473,4,127794,119435105.7,38803701.64,1.840088543,64,10334090,652860,66.026,63.047,64.486,11,21976355,57394,2.3847611,48.6358467,51.3641533,37172386,0,0,NA,1.06,10
Albania,ALB,19.5724,14546448944,100,45.81003739,8,11.78,9,11.3,7.898,6,66.99561,1.617,44,248631,1204383364,-4513335.957,4.071301295,94,1318022,27400,80.167,76.816,78.458,3,2714878,289,-0.246732042,49.0630946,50.9369054,2866376,0,14,27.85714286,1.085,8
Algeria,DZA,9.8338,2.01E+11,100,57.50803244,15,24.282,10,11.8,4.716,0,48.49803,3.023,41,4200919,1466082167,879668058.7,1.400000001,80,12173459,2381740,77.938,75.494,76.693,14,47154264,20875,2.00737383,49.48426788,50.51573212,42228429,0,8.1,25.75757576,1.05,2
Argentina,ARG,62.5654,4.47E+11,100,55.95447291,52,17.021,14,5.3,7.609,8,58.18388,2.261,42,9764014,11872856663,1802220667,-2.481792445,94,20551682,2736690,79.863,73.082,76.52,38,58598041,6560,1.015808349,51.23734845,48.76265155,44494502,100,3.9,38.91050584,1.04,2
Australia,AUS,11.3258,1.42E+12,100,53.48508824,52,12.6,10,0.7,6.3,7,80.70552,1.74,125,8200000,61079477673,214944531.8,2.940333582,95,13254463,7692020,84.9,80.7,82.74878049,63,27640000,984,1.536105516,50.19962324,49.80037676,24982688,100,26,28.66666667,1.055,11
Austria,AUT,7.0444,4.43E+11,100,49.92394012,13,9.7,13,4.8,9.5,7,78.73995,1.47,11,3772429,-28555242263,-26584148161,2.419763638,94,4601213,82522.99805,84.1,79.4,81.69268293,3,10984000,254,0.487071925,50.82942665,49.17057335,8840521,52.2,17.1,34.42622951,1.055,4
Bahrain,BHR,13.239,33708590426,100,27.68238859,7,13.99,9,1.1,2.385,8,70.13951,1.987,14,274733,111170212.8,1515159574,1.957183297,99,926959,778.0000305,78.285,76.312,77.163,3,2092714,132,4.921161372,36.34825161,63.65174839,1569439,28,0,15,1.038,1
Belarus,BLR,13.7516,62461148027,100,46.43666372,9,9.9,9,0.5,12.7,7,74.35306,1.448,2,4488821,1426500000,55200000,3.149197594,98,5087320,202988.0078,79.4,69.2,74.17560976,4,11619651,288,-0.155570407,53.45605422,46.54394578,9483499,0,11.1,34.54545455,1.063,3
Barbados,BRB,31.1302,4625500000,100,49.57888035,4,10.648,11,7.3,9.004,0,57.6745,1.619,29,128043,241596500,9204500,-0.580333154,85,155314,430,80.392,77.682,79.081,3,329326,37,0.142439723,51.67283003,48.32716997,286641,0,19.9,20,1.036,6
Bangladesh,BGD,82.3128,1.94E+11,85.16042328,48.9522985,36,18.184,5,21.2,5.529,0,42.46602,2.036,29,1449646,2421626238,19210044.2,7.863708893,97,68791250,130170,74.291,70.637,72.32,37,161771617,78362,1.050044649,49.38729667,50.61270333,161356039,0,31.1,20.28571429,1.049,5
Belgium,BEL,4.5704,5.38E+11,100,55.87046567,8,10.3,12,5.4,10.7,5,74.74503,1.62,13,4106864,-42501691432,-33428518832,1.487634836,96,5089752,30280,83.9,79.4,81.59512195,2,11447351,354,0.455184695,50.59331939,49.40668061,11427054,0,10.9,38,1.05,8
Azerbaijan,AZE,56.4976,57657780569,100,41.97437775,17,14,10,1.3,5.8,8,73.5854,1.73,14,1681407,1402998000,1760877000,1.500401707,96,5091052,82670,75.336,70.345,72.864,8,10339700,3247,0.866316916,50.1157491,49.8842509,9939771,41.5,13.8,16.8,1.124,8
Benin,BEN,84.0364,13912028869,41.52923965,84.16643509,12,36.221,6,3.6,8.871,0,51.71272,4.836,40,48508,194073683.2,9770518.684,6.697259461,71,4678297,112760,63.003,59.914,61.47,13,9461872,24718,2.734862013,50.0982017,49.9017983,11485048,0,11.9,7.228915663,1.041,6
Bolivia,BOL,63.9042,29058494825,95.5853653,61.98396703,55,21.75,14,39.2,6.772,7,51.5617,2.73,8,711961,302368781.4,-84465303.84,4.223622769,89,5631725,1083300,74.209,68.434,71.239,21,11445830,5414,1.421899486,49.78339913,50.21660087,11353142,52.9,0,53.07692308,1.05,0
Brazil,BRA,57.8858,2.32E+12,100,43.38337979,175,13.924,14,4.7,6.452,8,58.59449,1.73,93,38311924,78162572753,2024569614,1.317223999,92,105542232,8358140,79.362,72.024,75.672,80,207046813,37438,0.783847579,50.82991676,49.17008324,209469333,80.5,22.4,15.00974659,1.05,2
Bulgaria,BGR,39.3266,60911255558,100,55.32141636,17,8.9,11,1.1,15.4,5,71.80724,1.56,22,1120392,1222580000,872930000,3.084189801,93,3327614,108560,78.6,71.5,74.96341463,8,8387160,372,-0.722080405,51.41408841,48.58591159,7025037,0,4.9,23.75,1.06,8
Cote d'Ivoire,CIV,116.1584,41776171852,66.99118042,81.14602119,25,35.74,10,2.7,10.053,8,58.34417,4.649,59,302398,620330654.4,144652160.1,6.793487967,76,8294855,318000,58.741,56.251,57.422,31,33807850,53345,2.552358861,49.51911958,50.48088042,25069229,9.6,8.8,10.58823529,1.03,6
China,CHN,7.643,1.09E+13,100,40.44526875,96,10.9,9,1.2,7.1,8,73.95071,1.69,136,192085000,2.35E+11,1.43E+11,6.751614391,99,783424134,9388210,79.051,74.549,76.704,73,1649301700,123080,0.455899679,48.67937396,51.32062604,1392730000,0,11.8,24.89932886,1.126,4
Canada,CAN,8.0346,1.91E+12,100,49.48187651,24,10.1,10,0.3,7.7,8,79.6798,1.4988,44,13842000,46542783394,52788674450,2.013639212,90,20344918,9093510,84.1,79.9,81.94878049,18,33211000,1677,1.397947791,50.39152995,49.60847005,37057765,100,3.9,26.94610778,1.054,9
Botswana,BWA,45.358,18106670986,64.85172272,62.17130491,16,24.821,NA,0.6,5.742,7,66.17048,2.874,2,142481,228718290.8,120816944.5,4.478823484,97,1049545,566730,72.049,66.204,69.275,11,3381228,1805,2.197675758,51.73076044,48.26923956,2254126,53.6,21.5,9.523809524,1.031,5
Cameroon,CMR,103.4938,37879022253,62.66007233,83.01763161,29,35.386,6,24.8,9.266,6,46.00492,4.572,122,902253,765092012.8,107937662.7,4.062405319,59,11023646,472710,60.192,57.656,58.921,46,18455836,45416,2.612290751,50.00348783,49.99651217,25216237,0,38.9,31.11111111,1.03,6
Central African Republic,CAF,126.9636,1770260151,32.42039871,89.10773164,16,35.348,10,143.4,12.289,0,34.83372,4.721,3,2193,18003535.39,NA,3.789443593,49,1871101,622980,54.991,50.649,52.805,16,1279261,13635,1.519051537,50.43647371,49.56352629,4666377,0,0,8.571428571,1.03,6
Chile,CHL,40.1384,2.83E+11,100,45.52588834,35,12.428,12,5.7,6.163,7,72.32025,1.649,27,2997192,7322612246,580113127.2,3.949320891,93,9391133,743532.0313,82.381,77.552,80.042,19,25178981,1433,1.391010541,50.72703184,49.27296816,18729160,32.4,26.2,22.58064516,1.04,4
Czech Republic,CZE,11.9314,2.48E+11,100,53.86386184,9,10.7,9,1,10.6,7,76.322,1.71,2,1511942,8324668391,6079923725,2.846057677,96,5453301,77220,82,76.2,79.02926829,3,12704262,282,0.334427262,50.80858893,49.19141107,10629928,80.5,5.2,22,1.058,7
Finland,FIN,5.6588,2.69E+11,100,60.94239949,11,8.6,10,0.8,9.9,6,80.04165,1.41,6,323000,-10591740313,3088475915,1.630081492,96,2742737,303910,84.5,79.1,81.73414634,2,7150000,101,0.132641041,50.72075849,49.27924151,5515525,21.4,11.9,42,1.047,6
Ethiopia,ETH,65.0748,62329193946,44.97995758,79.4820265,35,32.339,8,52.7,6.551,0,47.0561,4.247,14,NA,3360419369,NA,6.816147797,55,51412462,1.00E+06,68.165,64.35,66.24,34,NA,132427,2.620013482,49.97888842,50.02111158,109224559,0,24.6,38.75685558,1.04,3
"Egypt, Arab Rep.",EGY,53.086,2.86E+11,100,64.01105496,14,26.379,12,42.6,5.817,8,58.51399,3.326,58,7865286,8141300000,323489000,5.314121037,94,30177778,995450,74.162,69.599,71.825,18,93784497,46426,2.033262176,49.46997164,50.53002836,98423595,27.3,13.7,14.93288591,1.06,5
Ecuador,ECU,78.7626,88507202750,100,54.28737726,106,19.719,15,33.3,5.109,8,57.6141,2.427,61,2360581,1455972145,0,1.289291933,83,8365114,248360,79.645,74.058,76.8,47,15772838,4115,1.765611201,49.97062518,50.02937482,17084357,73.3,16.1,37.95620438,1.05,1
Cyprus,CYP,4.4586,27413165936,100,43.89919863,7,10.462,10,11.9,7.022,5,72.77735,1.329,24,311559,5206751664,-3283128528,4.056632292,90,625713,9240,82.913,78.735,80.828,6,1200378,24,0.809225398,49.9710745,50.0289255,1189265,73.1,8.1,17.85714286,1.07,7
Croatia,HRV,8.2652,65019476935,100,53.74531751,14,9,8,6.6,12.9,6,72.95462,1.47,64,1355662,1212763554,319654286.9,2.694689228,93,1794730,55960,81.4,74.9,78.07073171,9,4388476,152,-0.893486928,51.85262175,48.14737825,4087843,100,0,18.54304636,1.061,5
"Congo, Rep.",COG,110.9356,14186866197,68.51843262,80.00253304,7,32.862,10,75.5,6.705,1,38.22684,4.428,57,NA,4315250903,13614873.58,1.6,75,2124852,341500,65.703,62.837,64.29,15,5.00E+06,6102,2.5817013,50.06560377,49.93439623,5244363,0,0,11.25827815,1.03,6
Colombia,COL,65.482,3.82E+11,99.93644714,46.10472428,126,14.882,12,14,5.562,7,69.24335,1.807,99,6973573,11535119873,5126317721,2.515324456,95,26229069,1109500,79.859,74.33,77.109,58,64513977,8984,1.517270891,50.9257717,49.0742283,49648685,78.4,21.7,18.12865497,1.05,11
Denmark,DNK,4.169,3.70E+11,100,56.91495672,9,10.6,10,0.2,9.5,6,85.17028,1.73,18,1131064,1166205135,527052002.9,2.391329685,95,3014756,41990,82.9,79.1,80.95365854,2,7216215,204,0.495838926,50.27420273,49.72579727,5793636,7.4,17.1,37.4301676,1.056,8
"Congo, Dem. Rep.",COD,122.6056,35223589533,18.97766113,96.78640987,42,41.183,6,26.7,9.482,0,35.23313,5.919,94,0,1407563588,209231295.7,5.8211211,57,28829943,2267050,61.901,58.852,60.368,32,36470600,230580,3.2266989,50.09774339,49.90225661,84068091,0,27.5,8.943089431,1.03,6
Cambodia,KHM,50.7204,19542411046,91.55067444,55.69071487,31,22.464,NA,47.4,5.997,6,53.7971,2.503,48,88157,3212633447,123963610.3,7.469169207,84,9191221,176520,71.629,67.312,69.57,39,19417123,8642,1.490355371,51.19798127,48.80201873,16249798,50.4,19.4,20,1.05,10
Burkina Faso,BFA,102.0658,15812355335,14.4,89.95179254,12,37.93,10,43.3,8.124,0,51.26807,5.189,4,76760,268414907.9,67713349.2,6.81961748,88,7238229,273600,61.863,60.361,61.174,9,19339109,40798,2.867078367,50.09548152,49.90451848,19751535,1.1,16.2,11.02362205,1.046,6
Ghana,GHA,65.7842,53828671662,82.39457703,68.53447275,23,29.407,11,15.5,7.309,6,60.43442,3.87,58,278379,2989035000,80850376.75,6.263480732,92,12611514,227540,64.852,62.724,63.78,21,40934875,30324,2.192828837,49.3258297,50.6741703,29767108,22.4,17.7,12.72727273,1.053,6
France,FRA,4.7362,2.93E+12,100,61.26714345,16,11.3,10,0.7,9.2,6,76.77957,1.88,53,38132000,71599682377,1.40E+11,1.792863954,90,30391825,547556.9922,85.9,79.7,82.72439024,9,70422000,2701,0.151733989,51.58424048,48.41575952,66965912,0,0.3,39.58333333,1.049,4
Estonia,EST,7.0988,26372885187,100,56.20961758,9,10.9,9,1.1,11.9,7,80.79339,1.67,5,345690,1212525210,-213611090.2,4.761158469,87,705816,43470,82.7,74,78.24390244,1,1924034,27,0.348039138,52.85842682,47.14157318,1321977,26.9,7.8,26.73267327,1.067,7
El Salvador,SLV,68.6136,22518214612,100,54.84470297,7,18.253,15,45.1,7.04,7,64.92118,2.039,17,923029,412743968.4,-413302988.3,2.430960499,81,2757089,20720,77.635,68.229,73.096,6,9433495,1385,0.509367036,53.11400244,46.88599756,6420744,33.6,16.9,30.95238095,1.05,9
Dominican Republic,DOM,93.0342,81804960995,100,53.98817641,17,19.506,15,14.1,6.15,8,59.32073,2.346,29,1277247,2744500000,209200000,6.982527585,95,4917459,48310,77.196,70.805,73.892,7,8937647,4988,1.078841148,50.00779607,49.99220393,10627165,100,29.1,26.84210526,1.05,1
Germany,DEU,7.8568,3.94E+12,100,54.04283612,11,9.5,13,6.5,11.5,8,79.34794,1.57,24,42500000,1.68E+11,1.77E+11,1.527446298,97,43560137,349360,83.3,78.6,80.89268293,5,107500000,2512,0.300526702,50.66036737,49.33963263,82905782,100,23.2,30.74753173,1.053,6
Greece,GRC,6.9376,2.53E+11,100,55.58515986,17,8.1,10,1.6,11.2,7,67.40997,1.35,80,5078083,4025447789,519563248.7,1.934370883,97,4804346,128900,84.4,79.3,81.78780488,10,12170757,291,-0.202880238,50.91620191,49.08379809,10732882,72.5,23,18.66666667,1.065,2
Georgia,GEO,45.1848,17642889363,100,53.047312,14,13.472,9,2.2,12.849,8,83.4992,2.06,11,604348,1218652826,293607479.8,4.869934776,98,2040890,69490,77.989,69.174,73.6,9,5459239,474,-0.039036546,52.2912375,47.7087625,3726549,100,7.8,16,1.064,9
Fiji,FJI,49.1406,4236472838,99.5933609,53.75698098,14,21.277,NA,15.9,8.208,0,61.38188,2.774,20,76522,468861002.9,-3630949.27,3.526209417,96,359311,18270,69.178,65.641,67.341,7,NA,407,0.684181932,49.30050142,50.69949858,883483,0,19.6,19.60784314,1.06,5
Haiti,HTI,50.9536,8123218871,45.27788925,61.79042719,17,24.349,6,200.3,8.534,0,37.85895,2.935,30,5922,1.05E+08,NA,1.483879788,69,4975289,27560,65.832,61.5,63.66,4,6399044,13297,1.273996399,50.65220989,49.34779011,11123176,0,22.8,2.542372881,1.05,2
Hungary,HUN,24.2756,1.63E+11,100,50.53376728,13,9.6,13,4.9,13.4,6,73.23963,1.55,9,3079730,-64832072323,-68477682834,5.094002564,99,4731877,90530,79.6,72.7,76.06585366,3,10041939,303,-0.126786952,52.43242803,47.56757197,9775564,91.2,9.1,12.56281407,1.059,9
Indonesia,IDN,46.9052,1.15E+12,98.51,47.94729712,160,18.072,9,6.1,6.465,8,68.184,2.311,166,8303511,18909826044,6399215529,5.169705609,89,132737405,1811570,73.748,69.375,71.509,191,319434605,101219,1.133769861,49.64388219,50.35611781,267663435,38.1,18.1,19.82142857,1.05,6
Ireland,IRL,7.0566,3.73E+11,100,54.49315126,9,12.5,10,0.1,6.4,7,79.58999,1.75,28,1829166,67361732390,94803361631,8.169870933,92,2385556,68890,84.1,80.5,82.25609756,5,4971493,183,1.238875453,50.42550948,49.57449052,4867316,100,12.4,22.15189873,1.058,7
Italy,ITA,5.11,2.14E+12,100,56.44750534,17,7.3,12,14.1,10.5,7,73.04291,1.29,52,20396603,39613297744,39839044477,0.798119353,93,26034264,294140,85.6,81.2,83.34634146,8,83342486,1274,-0.19006364,51.37666963,48.62333037,60421760,100,16.8,35.71428571,1.063,2
Iceland,ISL,5.9066,18197812725,100,52.96921282,7,12,10,1.7,6.4,7,79.011,1.71,16,136713,-622718386.3,-151722470.8,3.814422976,93,212899,100250,84.5,81.3,82.86097561,6,411361,7,2.678142769,49.81170852,50.18829148,352721,100,8.8,38.0952381,1.053,4
Iraq,IRQ,71.7416,2.11E+11,99.9,71.55649885,17,29.075,6,38.8,4.776,0,44.65481,3.672,19,2705028,-4885100000,188400000,-0.563615472,83,10146991,434128.0078,72.486,68.429,70.454,13,36527353,24904,2.318464028,49.40868153,50.59131847,38433600,0,15,25.22796353,1.065,0
Kenya,KEN,74.044,61746972564,75,72.77528872,44,28.748,12,24.9,5.469,8,70.97866,3.492,74,65644,1625921131,164384690.6,6.318450702,89,23057935,569140,68.684,63.965,66.342,30,49501430,48163,2.305948675,50.31602039,49.68397961,51393010,29.9,30.1,21.7765043,1.03,10
"Korea, Rep.",KOR,1.3204,1.45E+12,100,37.7256402,33,6.4,9,14.6,5.8,8,83.96046,0.977,28,25906849,12182600000,38220400000,2.664930346,98,28272711,97489.00391,85.7,79.7,82.62682927,12,66355778,1067,0.47533441,49.91688179,50.08311821,51606633,100,18.2,17,1.055,5
Kuwait,KWT,7.8858,1.37E+11,100,31.73383938,11,13.939,9,2,2.696,6,62.56073,2.082,18,515542,-21377568.82,2971770063,1.246273814,98,2383249,17820,76.467,74.672,75.398,7,7099848,401,1.982462733,39.54817062,60.45182938,4137312,30.7,0,3.076923077,1.045,1
Jamaica,JAM,51.3186,14249490165,98.93328094,48.25083158,11,16.103,6,4.4,7.573,8,68.2738,1.979,30,363820,774620603.1,12670743.49,1.940878147,89,1473383,10830,75.993,72.787,74.368,7,2964974,582,0.47823514,50.33982963,49.66017037,2934855,27.7,13.6,17.46031746,1.05,9
"Iran, Islamic Rep.",IRN,40.6932,NA,100,44.21925804,28,18.783,9,1.2,4.843,8,58.63915,2.137,47,30481734,2.37E+09,74601111.1,NA,99,27770616,1628760,77.668,75.409,76.479,18,88722442,19033,1.386479705,49.43912976,50.56087024,81800269,58.3,18.4,5.882352941,1.052,2
Madagascar,MDG,107.7374,12871116512,25.90781212,77.47762031,37,32.657,5,33,6.055,6,47.04235,4.077,111,69046,612036371.4,117896273.8,4.564782759,62,13409202,581800,68.301,65.077,66.681,121,10654710,31696,2.66961324,50.12396661,49.87603339,26262368,0,16.6,19.20529801,1.03,2
